Name,URL,HQ / Region,Category,Closeness (1-5),Status,What it is,Pricing (2026),Covers,Does NOT cover / gaps
RoomGPT,roomgpt.io,US (indie),Pure AI render/redesign,3,Active,One of the original viral photo-in/redesign-out tools (2M+ users),"Free ~1 design; packs $9/30, $19/100, $29/200; iOS $4.99/wk or $14.99/mo","~35 styles, common room types, fast photorealistic redesign, before/after","No shopping list, no floor plans, no human, no quiz, minimal editing"
Interior AI,interiorai.com,"Netherlands/global (P. Levels)",Pure AI render/redesign,3,Active,Redesign + virtual staging skewed to realtors/prosumers,"No free renders; Pro ~$99/mo; Ultra ~$399/mo","40+ styles, virtual staging, sketch-to-render, structure detection, commercial license","No shopping list, no floor plans, no human, no quiz; expensive"
Spacely AI,spacely.ai,Bangkok/Singapore/Vietnam,Pure AI render/redesign,3,Active,Prosumer/pro AI rendering suite (12+ tools),"Free 40 trial credits; ~$12.75/mo (200cr annual) to ~$102/mo (1,800cr); credits since Sep 2025","Realistic render, auto-furnish, style transfer, SketchUp plugin, <60s renders, commercial license","No shoppable links, no floor plans, no human, no quiz; credit model"
REimagine Home,reimaginehome.ai,US/India (Styldod),Shop-the-look / AI redesign,5,Active,AI staging/redesign WITH genuine shoppable mode; 1.5M+ users,"Free (5 designs); Essential $14, Pro $49, Advanced $74, Agency $99/mo (credits); shoppable ~2x credits","AI staging/redesign, object removal, REAL products from IKEA/West Elm/Target/Wayfair, budget+postcode filter, one-click add-all-to-cart, conversational refine","No human designer (AI + chat only); automated matching not curated; real-estate skew; no quiz; no local AM market"
Collov AI,collov.ai,US/global,Pure AI render/redesign + staging,3,Active,AI design + virtual staging built from real brand aesthetics,"Standard $16–19/mo (60cr), Advanced $49 (150), Premium $79 (263), Enterprise $127 (526)","Redesign, staging, furniture eraser, text-to-design, material overlay, 360, designs from 200+ real brands, ~10-15s","Renders NOT shoppable (no buy links); no human; no quiz; credit caps; B2B/staging lean"
DecorMatters,decormatters.com,"Bay Area, US (MWM)",Mobile AI design app,4,Active,Gamified mobile-first AI+AR app w/ big social community (10M+ users),"Free + IAP; Premium ~$9.99/wk or /mo + coins","AI room gen, AR place-in-room, styles, shoppable 30+ brands, design challenges, community feed","No human; no quiz; gamified/grindy UX; hobbyist quality; app-only"
ArchitectGPT,architectgpt.io,US,Pure AI render/redesign,2,Active,AI interior + exterior/architectural rendering,"Basic $25, Standard $45, Pro $90/mo; Enterprise","80+ themes, 40+ room/outdoor types, text/sketch-to-image, magic editor, 360, 4K upscale","No shoppable links, no floor plans, no human, no quiz; no real free tier"
HomeDesigns.ai,homedesigns.ai,US,Pure AI redesign + shop-the-look,4,Active,Interior/exterior/garden redesign + shoppable Furniture Finder,"Individual $17/mo ($9 annual, 100 designs), Pro $29 unlimited + commercial","40+ styles, int/ext/garden, virtual staging, HD, Furniture Finder returns REAL purchasable products by region/style/price","No human designer, no add-all-to-cart depth, no AR, no quiz"
ReRoom AI,reroom.ai,Asia (SG/China),Pure AI render/redesign,3,Active,Fast photorealistic room redesign w/ pro pipeline,"Free limited; credit Pro monthly/yearly (~$0.13/gen)","20+ styles, bathrooms/outdoor, video gen, SketchUp plugin, seconds-fast","No shoppable, no floor plans, no human, no quiz; opaque pricing"
Mnml.ai,mnml.ai,US,Pro AI render/redesign,2,Active,Architecture-trained AI rendering for architects/pros,"Free trial; Basic $19/mo (credits, ~10/design); rollover 2mo","40+ styles, 12+ tools, 8K upscale, style transfer, integrations","No shopping, no floor plans, no human, no quiz; pro/arch"
Decoratly,decoratly.com,Undisclosed,Pure AI redesign + shop-the-look,4,Active,Consumer redesign w/ one-time unlocks + shopping integration,"Free trial (2 designs); $3.99 unlock-this-room (25 designs, 7 days); $9.99/30-days unlimited; no auto-renew","70+ styles, Makeover+Enhance, AI chat, shopping integration to match real furniture, 4K","No floor plans, no human, no quiz; shopping = match not curated PDF"
DreamHouse AI,dreamhouseai.com,US,Pure AI render/redesign + staging,3,Active,Interior + exterior redesign / virtual staging,"Free trial (10); from $24–$39/mo; ~$0.05/design","35+ styles, int+ext/facade/landscaping, staging, project folders","No shoppable links, no floor plans, no human, no quiz"
AI Room Planner,airoomplanner.com,Undisclosed,Pure AI render/redesign,2,Active (beta),Free no-login interior idea generator,Free unlimited in beta,"Endless style idea generation from a photo, many styles","No shopping, no real floor plans (misleading name), no human/quiz/account; low control"
Paintit.ai,paintit.ai,Undisclosed,Pure AI redesign + shop-the-look,4,Active,Consumer redesign + AI chat w/ real-furniture suggestions,"Free 3 renders; Weekly $5.99 (300cr/20 HD); Monthly $20.99 (1,500cr, 4K, commercial)","Many styles, unlimited AI chat, real furniture suggestions, mix styles, HD/4K","No floor plans, no human, no quiz; furniture = suggestions not curated PDF"
AI HomeDesign,aihomedesign.com,EU/US,AI virtual staging + design,3,Active,Real-estate staging + AI design w/ done-for-you human option,"PAYG $0.24/photo; Pro $35 ($19 yearly, 30), Pro Plus $59 ($29 yearly, 80), Enterprise $99 ($49 yearly, 200); HUMAN staging $13.99/photo","Staging, item removal, enhance, day-to-dusk, AI design (8 styles), optional human touch-up","No shoppable links, no floor plans, no quiz; realtor skew; few styles"
Remodel AI,remodelai.io,US (indie),Pure AI render/redesign,4,Active,Photo-to-AI remodel (interior/exterior/staging/flooring/paint/landscape),"Free (3 full-quality, no card, no watermark, all styles/tools); Pro $29, Premium $49, Ultra $79/mo","30+ styles, 8 tools, object removal, furniture swap, flooring/paint preview, staging, exteriors","No shoppable list, no floor plans, no human, no quiz, no AR"
Remodeled AI,remodeled.ai,Undisclosed,Pure AI render/redesign,3,Active,Budget consumer redesign-from-photo (cheapest tier),"Basic $7, Plus $22, Pro $57/mo; annual ~5mo free","Photo redesign, multiple styles/tools, room types","No shoppable, no floor plans, no human, no quiz; thin feature set"
MyArchitectAI,myarchitectai.com,US,Pro AI render,2,Active,AI rendering turning CAD/sketches into 4K renders,"Free (10/mo); Pro $29 unlimited (commercial, 4K); Enterprise","CAD/sketch/line-to-render, 4K, SketchUp/Revit/Rhino/Archicad compatibility","No shoppable, no floor plan gen, no human, no quiz; CAD workflow"
RoomsGPT,roomsgpt.io,Undisclosed,Pure AI render/redesign,2,Active,Free/low-cost RoomGPT-lineage redesign tool,"Free online; from ~$6/mo; packs $9/30, $19/100, $29/200","Photo redesign, multiple styles, simple upload","No shopping, no floor plans, no human, no quiz; clone-tier"
DecorAI,decorai.io,US (indie),Pure AI render/redesign,3,Active,AI interior/exterior redesign w/ strong editing,"$24/mo unlimited; 1-day free trial (3 designs, no watermark)","55 styles, keep-layout, Magic Edit/Erase/Inpaint/Surface Editor, HD, commercial","No human, no true shoppable list, no quiz, no AR"
GenRoom,genroom.io,Undisclosed,Pure AI render/redesign,3,Active,Consumer '~30-sec transform' redesign w/ generous free tier,"Free ~4-6cr no card; from ~$9.90/mo; $9.99/12cr (~$0.30/viz)","Interior + facade + yard, many styles, ~30s renders","No shoppable, no floor plans, no human, no quiz"
MyRoomDesigner.ai,myroomdesigner.ai,Undisclosed,Pure AI redesign + shop-the-look,5,Active,Layout-preserving redesign + boards + auto shopping list (closest feature clone),"Personal ~$15/mo (50 gen, 10 boards), Business ~$39 (200/100), Premium ~$75 (400/200); monthly higher","Redesign preserving layout, color/furniture swaps, product matching, AUTO shopping/purchase list, mood boards, upscaling","No human, no floor plans, no quiz; pricier tiers"
Foyr Neo,foyr.com/neo,India/US,Pro/CAD software w/ AI,2,Active,Cloud AI-assisted design + fast photorealistic rendering for pros,"Free trial; Basic $29–49/mo, Standard $55–129, Premium $99–199; enterprise","3D render, floor plans, AI staging/reno viz, large library, photorealism","Pro-oriented; no 1-click photo redesign; no human service; no consumer shopping; learning curve"
Planner 5D,planner5d.com,"Vilnius, Lithuania",Pro/CAD software w/ AI,3,Active,Consumer 2D/3D home design w/ AI Design Generator (120M+ users),"Free (watermark); Premium $19.99/mo ($59.99/yr); Pro $49.99/mo ($399/yr)","Floor plans, 3D, AI gen, 10k+ catalog, 4K/360, floor-plan photo convert, multi-language incl Russian","You do the design; no human designer; no shoppable checkout to retailers; no consult"
Coohom,coohom.com,"Hangzhou, China (Manycore)",Pro/CAD software w/ AI,2,Active,Mature 2D-3D design + cloud render w/ AI redesign (HKEX-listed 2026),"Free (5-10 renders/mo); Standard ~$29 (50 HD); Pro ~$59-79 unlimited","3D render, floor plans, AI redesign/style transfer, huge library, walkthrough video","Credit model; pro positioning; no human service; no consumer cart"
Homestyler,homestyler.com,"China (Easyhome)",Pro/CAD software w/ AI,3,Active,Free-first 3D design + AI planner + AR (ex-Autodesk),"Free (unlimited 1K renders); ~$1.99–$9.99/mo; credit packs","3D, floor plans, AI auto-planner + Home Copilot (NVIDIA Edify), AR, 300k+ models","DIY tool; no human designers; no curated shoppable checkout; no quiz"
SketchUp + AI Render,sketchup.com,US (Trimble),Pro/CAD software w/ AI,1,Active,Industry-standard 3D modeler w/ AI Render (viewport+prompt to image),"Go $129/yr, Pro $349, Studio $819; AI credits per plan; add-on $11.99/mo","Full 3D modeling, AI image from model, VR, plugins","Steep learning curve; model everything yourself; no photo redesign; no shopping/human"
Cedreo,cedreo.com,France/US,Pro/CAD software w/ AI,2,Active,Fast cloud 3D home design for builders/remodelers,"Free tier; Personal $139 one-time; Pro ~$129/mo (€69); Enterprise ~$159/mo","Floor plans, 3D, photorealistic renders, catalog, client presentations","Builder/remodeler pros; limited AI; no consumer redesign/shopping/human"
Live Home 3D,livehome3d.com,Ukraine/US (BeLight),Pro/CAD software w/ AI,2,Active,Desktop/mobile consumer home & interior design app,"Free basic; Standard ~$4.99/mo, Pro ~$9.99/mo; lifetime ~$29.99–$49.99","Floor plans, 3D, rendering, furniture library, VR export","Manual DIY; essentially no generative AI; no human; no shopping service"
RoomSketcher,roomsketcher.com,Norway,Pro/CAD software,2,Active,Easy branded 2D/3D floor plans + order-a-plan service,"Free (watermark); Pro $144/yr (5cr/mo); Team $420/yr","2D/3D floor plans, 3D photos, 360, order-a-plan service","Floor-plan-centric; minimal AI; no photo restyle; no ecommerce; no full styling"
HomeByMe,home.by.me,France (Dassault),Pro/CAD software + service,3,Active,Free 3D home design + branded catalog + optional human decoration/turnkey,"3 editions $0–$65; 3D turnkey add-on from $14.99; pro room decoration from $69/room","Floor plans, 3D, renders, 30k+ branded shoppable catalog, AI features, OPTIONAL human decoration/turnkey services","DIY-first; no photo-to-AI redesign; human styling is peripheral add-on; brand catalog not open checkout"
Morpholio Board,morpholioapps.com,US,Pro/CAD software w/ AI,2,Active,Premium iOS/Mac mood-board app w/ AI sourcing (Ava),"Essentials $4.99, Premium $7.99, Pro $11.99/mo (or $29.99/yr)","Mood boards, AI sourcing lists (Ava), AR, spec sheets, PDF/PSD export","iOS/Mac only; no 3D/floor plans; no render; no human; no direct checkout"
Chief Architect,chiefarchitect.com,US,Pro/CAD software,1,Active,Professional residential architecture/remodeling CAD+BIM (+ Home Designer),"$229/mo or $1,995/yr; Home Designer Pro ~$199/yr perpetual","Auto floor plans, full 3D, construction docs, catalogs, ray-trace","Steep learning curve; pro pricing; minimal AI; no redesign/shopping/human"
2020 Design Flex,2020spaces.com,US/UK (Cyncly),Pro/CAD software,1,Active,Cloud kitchen & bath design w/ live manufacturer catalogs + quoting,"~$1,895–$2,995 per seat/year","3D room design, floor plans, live manufacturer catalogs + pricing/quoting, collaboration","Kitchen/bath niche; dealer/pro only; no whole-home AI; no consumer service"
DesignFiles,designfiles.co,US,E-design business suite (B2B),3,Active,All-in-one e-design business suite for interior designers,"Free trial; Starter ~$35/mo, Pro/Team ~$49–55/mo; +$30/seat","Mood/design boards, 2D/3D visuals, floor plans, sourcing, client portal/approvals, invoicing, some AI render","B2B for designers not homeowners; no consumer photo redesign; sourcing not consumer checkout; no in-house team"
Programa,programa.design,Australia,Studio ops software (B2B),2,Active,'Notion-meets-Asana' studio ops + design platform for firms,"~$59/user/mo (first 3 seats); 10+ contact sales","Mood boards, sourcing/schedules, POs, project mgmt, presentations","Back-office studio tool; no AI room gen; no rendering focus; no consumer service"
Mydoma Studio,mydoma.com,Canada,Studio ops software (B2B),2,Active,Project mgmt + client portal for designers w/ 3D Vizualer,"~$58/mo annual + ~$300 onboarding; Vizualer add-on ~$30/mo; free single-user","Client onboarding, sourcing, proposals/invoicing, client portal, fast 3D (add-on)","Designer B2B; no consumer photo redesign; no DTC shopping; no in-house designers"
Fohlio,fohlio.com,US,FF&E procurement software (B2B),1,Active,AI-assisted FF&E specification & procurement for large projects,"From ~$120/mo; largely custom","FF&E specs, product library, budgeting, procurement, AI spec extraction","Enterprise procurement niche; no rendering/redesign/consumer; no styling service"
Maket.ai,maket.ai,"Montreal, Canada",Generative floor-plan AI,2,Active,Conversational generative AI floor-plan generator w/ zoning checks,"Free (~10-50cr); Pro ~$20-29/mo (~300cr); Studio ~$79/mo","AI-generated editable floor plans via text, zoning/setback intelligence, some style gen","Floor-plan/layout focus not styled rooms; no photo redesign; no shopping; no human"
Finch 3D,finch3d.com,"Malmö, Sweden",Generative architecture AI,1,Active,Generative early-stage architecture (massing to floor plans/BIM),"Free; Basic €49/mo; Enterprise €1,000/mo","Generative floor-plan optimization, BIM output, real-time metrics","Architect early-design niche; no interiors styling; no consumer render/shopping"
TestFit,testfit.io,"Dallas, US",Generative real-estate AI,1,Active,AI real-estate feasibility / site planning (multifamily),"~$100/mo base; ~$400/mo Urban Planner","Generative site/building feasibility, unit mix, parking, metrics","Developer feasibility not interiors; no room render; no consumer anything"
Modelo,modelo.io,US/China,3D/VR presentation software,1,Active,Cloud 3D/VR presentation & collaboration for CAD models,"Tiered individual-to-business; enterprise custom","Browser 3D walkthroughs, VR, markup, Revit/3ds Max/Vectorworks plugins","Visualization only; bring your own model; no authoring/AI/service/shopping"
Spoak,spoak.com,US,Pro/prosumer platform + community,4,Active,'Houzz for a younger generation' — consumer design tools + education + community,"Memberships from $14.99/mo; enterprise via sales","Room mockups, mood boards, to-scale plans/elevations, trade discounts, courses, community, client tools","No generative AI photo redesign; no in-house human designers; shopping via trade not instant checkout"
Archilogic,archilogic.com,Switzerland,Spatial-data API (B2B),1,Active,Developer platform turning floor plans into queryable 3D data,"Free Starter; Plus $24.90/floorplan/mo; Pro $59; Enterprise","3D floor-plan data, embeddable viewer, public API, AI-queryable metadata","Infra/API for developers; no consumer UI; no styling/redesign/shopping"
SofaBrain,sofabrain.com,US,Mobile AI design app / staging,2,Active,AI interior design + virtual home-staging renderer,"Free trial; roughly $12–$39/mo entry, monthly/annual","Photo redesign, virtual staging, styles, room types","No human; no curated shoppable list; no quiz; staging-first; inconsistent pricing"
Room Planner: AI Home Design,apps.apple.com,US/various (Room Planner Ltd),Mobile AI design app,2,Active,3D room-layout + AI design app w/ 450k+ product catalog (crowded name),"Weekly $5.99–$6.99; monthly $12.99–$14.99; annual $69.99–$74.99; some lifetime $19.99","3D room layout, ready-made designs, big furniture catalogs, HD renders, some AR/export","No human; predatory weekly-sub funnel; name-confusion clones; model placement not direct shop links; variable quality"
MagicPlan,magicplan.app,"Montreal, Canada (Sensopia)",Mobile AR measurement app,1,Active,AR floor-plan/measurement app for contractors/remodelers,"Free (2 projects); Basic ~$9.99/user/mo; PRO tiers; ~$30-40/project overage","AR room scanning, floor plans, measurements, docs/estimates/reports, exports","Not a decorating tool; no AI redesign/styles/shopping; contractor field tool"
Home Design 3D,apps.apple.com,France (Anuman),Mobile DIY design app,1,Active,Paid DIY 2D/3D home & interior modeling app,"Largely one-time paid (varies); Steam ~80% off sales; freemium mobile","Floor plans, 3D building/furnishing, furniture library, render/walkthrough","No AI redesign; no human; no shop links; no quiz; manual modeling; dated"
IKEA Kreativ / IKEA Place,ikea.com,Sweden/NL (Ingka),Shop-the-look (retailer AI),4,Active,Free AI room-scan + AR that erases furniture and fills w/ IKEA products,Free (drives IKEA sales),"LiDAR/photo room scan to 3D replica, erase existing furniture, place/swap live IKEA items, add-to-cart, AR, save/share w/ IKEA designer","IKEA catalog only (retailer-locked); no multi-retailer list; no independent advice; no paid human service"
Wayfair Decorify,wayfairnext.com/decorify,"Boston, US (Wayfair)",Shop-the-look (retailer AI),4,Active,Free generative-AI room styler w/ shoppable Wayfair products,Free (sells Wayfair goods),"Photo-to-AI restyle into styles, shoppable photorealistic output, buy from Wayfair, true-scale View-in-Room, Vision Pro AR","Wayfair catalog only; no human; no quiz; no subscription/service tier"
Roomify AI,roomify.live,Indie,Mobile AI design app,2,Active,Photo-to-AI interior/exterior/garden redesign app,"From ~£4.99/mo (~$6); free entry","Photo redesign, interior/exterior/garden, many styles, instant renders","No human; no shoppable list; no quiz; no AR; thin; clone listings"
Amazon View in Your Room,amazon.com,"Seattle, US (Amazon)",Shop-the-look (retailer AR),2,Active,AR to place Amazon furniture/decor at true scale in your room,Free (drives Amazon sales),"AR place-in-room, multi-item coordination, save layouts, buy across listings","No generative AI redesign; no styles/guidance; no human; Amazon catalog only"
Pinterest Shop the Look,pinterest.com,"San Francisco, US",Inspiration + shoppable pins,2,Active,Visual-discovery platform; Shop-this-Look + Lens make decor shoppable,Free (ads/shopping),"Inspiration at scale, visual search, shoppable pins/looks, trend forecasting","No photo redesign; no AR-in-space; no human; no quiz; inspiration + shopping not design gen"
Virtual Staging AI,virtualstagingai.app,US (Zillow Group),AI virtual staging,1,Active (acq. Zillow Oct 2024),Pure AI virtual staging for vacant listings,"Yearly: Basic $16/mo (6 photos), Standard $19 (20), Professional $39 (60), Enterprise $79 (150)","AI staging, furniture removal, no watermark","No shoppable matching, no retailer catalog, no AR, no human, no floor plans"
ApplyDesign,applydesign.io,Undisclosed,AI virtual staging,1,Active,Budget DIY + auto AI staging,"Coins $7–$10 each; 2D auto-stage ~1.5 coins (~$10.50); 360 ~2.5 coins; first image free","Auto-staging, DIY drag-drop, item removal, 360 panoramas","No shoppable products; no retailer catalog; no human"
BoxBrownie,boxbrownie.com,Australia,AI+human virtual staging,2,Active,Human-edited photo editing + virtual staging outsourcing,"~$24–$32/image staging (usually $30); removal/enhance/day-to-dusk add-ons; full listing $150–$290","Human-edited staging, furniture removal, floor plans, enhancement","No shoppable matching; no retailer catalog; no AR; no AI-instant; sells to agents"
Styldod,styldod.com,US/India,AI+human virtual staging,2,Active,Human-oversight virtual staging + renovation (parent of REimagineHome),"$16–$23/image; commercial $24; occupied-to-vacant $15; virtual reno $5; object removal $8; floor plans $9","Human-QA staging, renovation, object removal, floor plans","No shoppable products (that lives in REimagineHome); no AR; agent-focused"
roOomy,rooomy.com,US,Virtual staging (was shoppable 3D),2,Active,Human-designed photo + Matterport 3D virtual staging (pioneered shoppable 3D),Per-order photo & Matterport staging (quoted),"Photo staging, Matterport 3D-tour staging, human design","No currently-marketed shoppable buy-list/AR self-serve; realtor/enterprise focus"
Stuccco,stuccco.com,US,AI+human virtual staging,2,Active,Designer-led virtual staging marketplace,"PAYG $35/photo; Essential $28 ($399 prepay); Plus $24.50 ($799 prepay)","Human designer staging, renovation edits, day-to-dusk","No shoppable products; no retailer catalog; no AR; light on floor plans"
PhotoUp,photoup.net,US/Philippines,AI+human virtual staging,1,Active,Real-estate photo editing + AI and Pro (human) staging + VAs,"AI staging 5 credits/image; Pro (human) 20 credits/image; subs $39–$399/mo","AI + human staging, furniture removal, revisions","No shoppable products; no retailer catalog; no AR; agent workflow"
Roomvo (Leap Tools),roomvo.com,"Toronto, Canada",Shop-the-look (B2B visualizer),2,Active,B2B shop-the-look visualizer for flooring/tile/rugs on retailer sites (6-7k brands),"Enterprise/B2B SaaS to manufacturers/dealers (not public)","Photo-upload visualization, AR, sample-lead tracking, on-site conversion","No full-room furnishing; no AI concept gen; no human; flooring/surfaces only"
MeltFlex AI,meltflexai.com,Slovakia/US,Shop-the-look / AI redesign,5,Active,AI redesign where the render links to real priced furniture (213k+ users),"Free entry; Standard ~€29/mo, Pro ~€59/mo; higher adds projects/API","Photo to ~20-sec photoreal render, REAL priced furniture from IKEA/Amazon/Wayfair/Pottery Barn/Ashley placed in design to shopping list, API, developer sales galleries","No human designer; no AR; automated matching; EUR/EU-centric"
Hutch,hutch.com,US (Zillow-backed),Shop-the-look (precedent),0,Inactive/pivoted,Pioneered upload-photo to styled filters to shoppable products in-app,(historic) in-app product sales,"Photo restyle filters, shoppable in-app","Interior app wound down; team pivoted (gaming); precedent that standalone shoppable-room app is hard"
Swatchbox,swatchbox.com,US,Physical sampling (adjacent),1,Active,Free architect/designer physical building-material sample delivery + AI grading,Free to pros (B2B),"Physical material sample delivery, AI sample grading","B2B pro sampling not room design; no redesign/shopping-for-consumers"
Gepetto AI,gepettoapp.com,"Bordeaux, France",Regional AI redesign/staging,2,Active,Photo-to-redesign / virtual staging AI for EU real-estate agencies,"Subscription/credit tiers (EUR)","AI redesign, wall repaint, object removal, 30+ styles, EU market/language","No human; no shoppable buy-list; no floor plans; no quiz; staging tool"
Planoplan,planoplan.com,Russia / CIS,Regional 3D planner,3,Active,Online 3D room planner for designers and consumers,"Free-forever; paid from ~$10/mo","3D, floor plans, Russian language / CIS market (overlaps Armenia's Russian-speakers)","No AI photo redesign headline; no human; no shoppable; no consult"
Freepik AI Suite,freepik.com,"Málaga, Spain",Horizontal generative AI,1,Active,Generative AI creative suite w/ interior visualization from prompts,"Freemium; Premium tiers","AI render generation (Imagen/Nano Banana/Seedream), Spaces collaboration, multi-language","No room-accurate photo redesign; no human; no shoppable; no floor plans; no quiz"
DeHome.ai,dehome.ai,Hong Kong (ZingFront),Regional AI redesign,2,Active,AI interior/exterior/landscape visualization,"Free option; credits from $9.99 (~4cr/interior image)","AI redesign, 40+ styles, exteriors","No human; no shoppable; no floor plans; no quiz; no consult"
Livspace,livspace.com,India + Singapore,Regional full-stack execution,3,Active,Full-stack interior design + execution (hybrid human + design tech),"1BHK from ₹3.62L; 2BHK ₹4.52L; 3BHK ₹5.57L (large project fees)","Human design, own-catalog shoppable, execution, local IN/SEA market","No worldwide remote-only; no low-cost AI self-serve; no Armenian market; capital-heavy"
