Order,ID,Title,Bucket,Description,Why,Strategy fit,Priority,Status,Effort,Phase,Dependencies,Notes,Date Added
11,AI-029,"AI Vision — Spatial recognition of the room (dimensions, layout, fixed features)",AI Studio,"Research + scope: extend AI Vision to UNDERSTAND the spatial layout of the room from the input photo before generating. Use Gemini's vision API + structured output to detect: room dimensions/proportions (estimated), ceiling height cue, window positions + sizes, doors, fixed architectural features (columns, beams, niches, fireplaces), camera-angle, current furniture placement. Feed this structured spatial context into the image generation prompt so concepts respect actual room constraints rather than generating idealized geometry. Possibly surface the detected layout to the user as a small 'we see…' confirmation panel before generating. Discovery session needed before scoping fully.",AI Vision currently generates concepts based on style + inspirations only — it doesn't know YOUR room's actual constraints. Owner explicit feedback 2026-05-19: 'we need to figure out how to add spatial recognition of the space.' Big quality lift. Differentiator vs. generic AI redesign tools.,Both,P2,Idea (research),L,Future,,"Discovered 2026-05-19. Owner said: 'maybe we can table this for another session, but definitely add to the plan and near plan.' Needs discovery (Gemini vision API capabilities + structured output prompt design + how to fold spatial context into image-gen pipeline). Ship after AI-028 polish + after the bigger AI Studio reorganization (AI-021) so the surface is settled.",2026-06-16
,A-002,Isolate 5 swap surfaces as small components,Architecture,"Extract HomeHero, HeaderPrimaryCTA, HeaderNav, FooterLead, SiteMeta. No content swap yet — just clean seams.","Future Option-2 pivot becomes a focused day, not a rebuild.",Foundation,P0,Idea,M,1,,,2026-06-16
,A-003,Move marketing copy into Sanity,Architecture,"New Sanity schemas for Home Hero, CTAs, page titles/meta, footer copy. Website pulls via @sanity/client.","At swap time, Option-2 copy is an editorial change, not a code change.",Foundation,P1,Idea,L,3,,Coordinate with Portfolio/studio repo.,2026-06-16
,AC-001,User Dashboard (Design + Studio),Account & Dashboard,"Logged-in landing for paid users: usage at a glance (audits/concepts/lists left), recent activity, jump-back-in cards, plan + billing.",Paid users need a home base; today they re-enter via the AI Studio grid only.,Both,P1,Done (in production),L,4,I-005,Shipped PR #65,2026-06-16
,AC-002,Saved Concepts (Design + Studio),Account & Dashboard,"Persist generated concepts to the user account. Browse, rename, delete, share. Required for Project Folders to be useful.",Free tier today is ephemeral. Saving is the most-requested next step for paid users.,Both,P1,Done (in production),L,4,"I-002, I-005",Shipped PR #65,2026-06-16
,AC-003,Project Folders (Studio only),Account & Dashboard,"Group saved concepts, audits, briefs, shopping lists into per-project folders. Studio-tier-only.",Studio-tier exclusive feature. Differentiates $49 from $19.,Both,P2,Idea,L,4,AC-002,,2026-06-16
,AI-001,Design Brief — build real implementation,AI Studio,"Replace SOON placeholder. Input: room photos + style + budget. Output: PDF brief with mood board, palette, scope. Design tier: 1/mo. Studio: unlimited.",Currently a stub on the AI Studio grid.,Both,P2,Idea,L,4,I-005,,2026-06-16
,AI-002,Cultural Advisor — build real implementation,AI Studio,"Studio-tier-only feature. Cultural context advisory for room design (e.g. Armenian, Japanese, Scandinavian context).",Studio-plan exclusive feature.,Option 2,P3,Idea,L,4,I-005,,2026-06-16
,AI-003,Resolve TODO: Design tier slot count,AI Studio,Code TODO at AIConceptsPage.tsx:384 — Design tier slot count not yet defined. Decide and implement.,Blocks shipping the Design tier.,Both,P1,Idea,S,4,,,2026-06-16
,AI-010,AI Renovation Sequencer (concept),AI Studio,User lists what they want to change; AI outputs the correct order of works (structural → electrical → plumbing → finishing → furniture) with time estimates and dependency warnings.,"Saves homeowners from expensive mistakes. High perceived value, defensible against generic chatbots.",Option 2,P3,Idea (refine),L,Future,,Tier fit TBD — likely Studio (project-management feel).,2026-06-16
,AI-011,AI Lighting Planner,AI Studio,"EXPANDED 2026-05-04. Input: floorplan (from AI-016/017) + window positions + geographic location. Output: layered lighting plan — ambient + task + accent zones, fixture types per zone (pendant/recessed/track/sconce), paint sheen + window-treatment recommendations for natural-light response across seasons. Geo + seasonal angle is the unusual differentiator.",Phase 2 (Plan). Aesthetic-facing (homeowner audience). Distinct from AI-018 Electrical Plan which is technical/contractor-facing.,Option 2,P3,Idea (refine),L,Future,AI-016,Tier fit: Design+. Owner explicitly distinguished from Electrical Plan (AI-018) on 2026-05-04 — they're SEPARATE cards.,2026-06-16
,AI-012,AI Budget Estimator (concept),AI Studio,"User describes their project; AI estimates realistic cost ranges by room type and finish level, broken down by category (furniture, lighting, soft furnishings, labor).",Builds trust and filters serious clients (you note this explicitly).,Both,P3,Idea (refine),M,Future,,Tier fit: candidate for Free (lead magnet for consultation upsell).,2026-06-16
,AI-013,AI Color Palette Generator (concept),AI Studio,"Upload any inspiration image (travel photo, fabric, nature shot); AI extracts a harmonious 5-color interior palette with paint brand matches (Benjamin Moore, Farrow & Ball codes).","Tangible deliverable, high shareability, low compute cost.",Option 2,P3,Idea (refine),M,Future,,Tier fit: Free or Design — broad appeal.,2026-06-16
,AI-014,AI Material Moodboard (concept),AI Studio,"Describe a feeling or paste a Pinterest board URL; AI assembles a curated moodboard of textures, materials, and finishes.",Bridges 'inspiration' (Pinterest) to 'specification' (materials list). Designer-adjacent value.,Option 2,P3,Idea (refine),L,Future,,Tier fit: Design+. Phase: Visualize.,2026-06-16
,AI-016,"AI Floorplan Generator — single-room layout (MVP) · ""Plan My Room""",AI Studio,"Upload a real floorplan (often a WHOLE HOME) → vision extracts architecture + services + printed dimensions → user picks ONE room → user declares what that room is to become → confirms the numbers → 3 layout variants generated, validated against the studio rulebook, repaired, and drawn to the studio's OWN standard: two views on one page (Furnishment Tags + Measurements). Architecture is GEOMETRY, not an image: Gemini responseSchema emits layout JSON → our TypeScript validator scores 0-100 with named violations → repair-reprompt x2 → our SVG renderer (web) + jsPDF (print) off one model, so the two views cannot disagree. Loose furniture on the input plan is DISCARDED before generation so the model designs rather than copies. Typed-dimension entry remains as the fallback for users with no plan.",Phase 2 (Plan). The room-level optimization most apartment-dwellers actually need. Matches your physical Floor Plans deliverable. Differentiator vs every furnishing-only competitor.,Both,P2,Approved (spec locked 2026-08-24),XL,4,None for Free tier · I-030 (Ameria recurring) gates Design/Studio quotas,"SPEC: _Plan/Website/AI-016-Floorplan-Generator-Plan.md · RULEBOOK: _Plan/Website/AI-016-Floorplan-Design-Rules.md (owner rules R1-R5 + designer rules R6-R42 + room starter kits + 10-verdict input triage) · SYMBOLS: _Mockups/Website/WEBSITE-PLAN-AI016-icon-library.html (47 plan symbols, real mm). Owner decisions 2026-08-24: build from scratch (no 3rd-party engine) · plan-upload is the primary input · output = studio's own 2-view drawing standard · quotas Free 3 LIFETIME / Design 20 per cycle / Studio 50 per cycle · 3D deferred · second-engine A/B = seam only. Effort revised XL 24-28 ideal days across 8 phases after analysing 3 real client inputs. BUILD THE VALIDATOR FIRST. Verify headless, never on localhost.",2026-06-16
,AI-017,AI Floorplan Generator — whole-floorplan + structural changes,AI Studio,v2-v3 of AI-016. Upload PDF or photo of full floorplan. AI re-arranges furniture across all rooms (v2). v3: AI suggests structural changes (move/add/remove walls) with disclaimers about load-bearing rules. Output: annotated PDF + before/after comparison.,Phase 2 (Plan). High-value for renovation/new-build clients. Studio-tier exclusive — these are the clients most likely to also hire her for execution.,Both,P3,Idea (refine),XL,Future,AI-016,Tier fit: Studio. Builds on AI-016 single-room foundation.,2026-06-16
,AI-018,AI Electrical Plan,AI Studio,"Input: floorplan + lighting plan + lifestyle (smart home / media wall / home gym / etc.). Output: outlet positions, switch placements, circuit grouping, data wiring schedule, smart-home wiring map. Studio-tier only — technical, contractor-targeted deliverable.","Phase 2 (Plan). Electrical is COMPLETELY DIFFERENT from lighting (per owner 2026-05-04) — different audiences, different concerns. Lighting is aesthetic/homeowner; electrical is technical/contractor.",Option 2,P3,Idea (refine),XL,Future,"AI-011, AI-016",Tier fit: Studio only. Owner explicitly distinguished this from Lighting Planner (AI-011) — they are SEPARATE cards.,2026-06-16
,AI-019,AI Installation Guides,AI Studio,"Input: shopping list output + room context. Output: step-by-step PDF guide for assembling and installing each item — order of operations, tools needed, gotchas, when to call a pro. Per-product guides aggregate into one document.",Phase 5 (Realize). Closes the gap between 'I bought this' and 'it's installed correctly.' Maps to the Installation Guides deliverable in S-014.,Option 2,P3,Idea (refine),L,Future,Shopping List paid features,Tier fit: Studio. Lower technical complexity than walkthroughs/electrical.,2026-06-16
,AI-020,AI 3D Walkthrough generator,AI Studio,"Input: floorplan + AI Vision concepts + materials. Output: 3D walkthrough video of the finished space. Cutting-edge — needs Runway/Sora/Hyperreal-class video gen tools, plus 3D scene assembly.","Phase 5 (Realize). The 'wow' moment — clients walk through their finished space before nails go in. Highest perceived value, highest technical complexity.",Option 2,P3,Idea (long-term),XL,Future,"AI-016, AI-017","Tier fit: Studio only. Build last — wait for video-gen APIs to mature and stabilize. Today's tools (Sora 2, Veo 3, etc.) might be feasible by the time we ship this.",2026-06-16
,AI-021,AI Studio reorganization — 5-phase IA + scrollable layout,AI Studio,"Restructure /ai-concepts page from flat 6-card grid to 5-phase narrative scroll: Discover → Plan → Visualize → Specify → Realize. Each phase is a horizontal section with intro + 2-4 tool cards. Auxiliary tools (Cultural Advisor, Design Brief, Room Audit) live in a 'More tools' section at the bottom. Mirrors the home-page S-013 'How it works' 4-step in a self-serve format. WHEN BUILT: the home page's 'Browse all tools →' CTA should land on this richer layout (currently routes to /ai-concepts top — same URL, but post-redesign the CTA will be meaningfully different vs 'Try AI free →' which keeps the sign-in-first flow). Consider a hash anchor like /ai-concepts#tools at that point.","With 13+ cards planned, the flat grid breaks. Phased IA tells a clear story (the design journey) and scales as new tools are added. Pairs with home-page narrative for coherent product story.",Both,P1,Done (in production),L,1,VF-002,"Owner raised 2026-05-04: 'when nav pane overflows, how should it be presented?' Answer: don't grow the grid, restructure as phases. Address with VF-002 (AI Studio UI audit) — same surface, related concerns. Also: 'Browse all tools' CTA on home AI section depends on this for full meaning (today it routes to /ai-concepts top; post-AI-021 it lands on the rich studio view). · Shipped PR #71",2026-06-16
,AI-031,AI Vision — Persist generated concepts across page reload until logout,AI Studio,"Today: reloading /ai-concepts after generating a concept WIPES the result. Free users (no dashboard yet) have no way to return to their work — they lose their generation and have to spend another quota slot to regenerate. Fix: persist the session-level concept state (results array, sessionConceptArchive, selectedConceptIndex, roomImage, inspirations, selectedStyle, selectedRoom) to sessionStorage on every change. On mount, restore from sessionStorage if the user is still logged in. Clear on signOut. Optionally also persist on F5/navigation, not just window unload. Keep db.json quotas as the source of truth — sessionStorage is just a render cache, no quota changes.","Owner feedback 2026-05-22 while debugging AI-030: 'when something is reloaded nothing is preserved from previous login… if the person is still inside the concept even the free user does not have a dashboard it should keep the session active until it logs out.' Real engagement leak — users lose work on accidental refresh, navigation, or browser crash. Compounds with the AI Vision low-resolution and aspect issues from AI-030 (re-running burns more quota).",Both,P1,Idea,M,1,,"Discovered 2026-05-22. Distinct from authentication persistence (which already works via Google OAuth cookie). This is about the CLIENT-SIDE state: roomImage, inspirations, selectedStyle, selectedRoom, results, selectedConceptIndex, sessionConceptArchive. Cap stored size (data URLs can be ~1MB each; sessionStorage limit is typically 5MB per origin — store ~3 concepts max + the source room + the inspirations). Also consider IndexedDB if size becomes an issue.",2026-06-16
,B-003,Brand surface bg color — should cream stay primary or migrate to cooler/whiter palette?,Visual/Feel,"Owner observation 2026-05-05: cream (#F4EFE7) reads warm; questioned whether it's the right primary surface across the platform. Currently used as primary background on home page, deliverables page mockup, and most cream-section treatments. Alternatives: paper (#FAFAFA) — barely-off-white, slightly cooler; or pure white (#FFFFFF) — cleanest. Decision affects: home-page sections, deliverables page sections, future page designs. Cover thumbnails already partially shifted (Shopping List moved to white 2026-05-05).",Brand surface choice is foundational. Cream is editorial and warm; white is clean and modern. The right answer depends on whether owner wants the studio aesthetic to read 'cozy editorial' or 'clean modern.' Worth a deliberate decision rather than ad-hoc per page.,Both,P2,Idea (decide before next big home/deliverables refresh),S,1,B-001,"Captured 2026-05-05 deliberately as its own item rather than half-changed. Recommend reviewing with owner during next planning session: pick one (cream / paper / white) and apply consistently. Currently mixed: home page cream, Shopping List cover white, other covers vary.",2026-06-16
,B-006,Site-wide font migration — Cormorant Garamond → Libre Caslon Display + Montserrat → Manrope,Visual/Feel,"Migrate the brand fonts from the legacy production pairing (Cormorant Garamond display + Montserrat body) to the locked new brand fonts (Libre Caslon Display display + Manrope body). Picked 2026-05-24 from the typography picker (_Mockups\Website\WEBSITE-PLAN-typography-picker.html). SCOPE: (1) Update index.html Google Fonts <link> — drop Cormorant Garamond + Montserrat, add Libre Caslon Display (1 weight: 400) + Manrope (weights 400/500/600/700). (2) Update tailwind.config (or the inline tailwind.config block in index.html line ~74-92) fontFamily: { display: ['Libre Caslon Display', 'serif'], body: ['Manrope', 'sans-serif'] }. (3) Audit every component for hardcoded font-family references (grep for 'Cormorant', 'Montserrat', 'font-display', 'font-body') and confirm they resolve via the tailwind tokens — no hardcoded font names should remain. (4) Verify rendering of H1s/H2s across all pages — line-heights and letter-spacing may need micro-adjustment since Libre Caslon Display has slightly different x-height + character widths than Cormorant. (5) Italic handling: Libre Caslon Display has NO italic — all current `italic` class usage on display fonts needs review. Either remove (preferred per owner's italic-only-where-it-really-matters rule), swap to Manrope italic (sans italic), or add Cardo italic locally for the specific component. (6) Update BRAND.md Typography section (already drafted 2026-05-24 with the new fonts locked + legacy migration table). (7) Logo SVG question — wordmark inside designature-*.svg files is currently Inter. Decide during scoping: migrate to Libre Caslon Display in the SVG too, or leave the finished SVG alone since it's a delivered brand asset.",Brand evolution decided 2026-05-24. Libre Caslon Display reads more 'atelier with sharp edge' than the softer Cormorant; Manrope is warmer + rounder than Montserrat. Together they reinforce the 'Online interior design studio' positioning shift (B-005 tagline change) by feeling more digital-product-quality without losing studio elegance. Locked in feedback_ui_global_principles.md Rule 4 + BRAND.md Typography section.,Both,P1,Dropped,M,Future,B-005,"DROPPED 2026-08-21 — owner confirmed Cormorant Garamond + Montserrat ARE the brand fonts, reversing the 2026-05-24 Libre Caslon Display + Manrope pick, which was never shipped. There is no migration to run. _Brand/BRAND.md § Typography rewritten accordingly (Libre Caslon/Manrope recorded as rejected) and the cross-session UI rule updated. Trigger: /deliverables (S-014) was built on the locked-but-unshipped pair and the owner rejected it on review.",2026-06-16
,C-001,45-minute paid consultation — service product,Content,"Productize a 45-min paid consultation. Script: review what they created in AI Studio, discuss space/budget/timeline, give professional direction (what's realistic, what materials work). Output: clarity for the client, qualification for you. Add a /book or /consultation page; integrate Calendly with paid Stripe link or Calendly's paid bookings.",Bridges AI Studio output → real-world project. Filters serious project clients from curiosity browsers. Revenue line that doesn't require subscription model.,Both,P1,Idea,M,1,,"Could be the Option 3 'Let's chat' destination, with a free 15-min variant for full-project leads.",2026-06-16
,I-003,Sanity i18n — Armenian translations for content,Infra/CMS,"Enable @sanity/document-internationalization or field-level translations. Translate portfolio titles, descriptions, category labels.",Today UI has Armenian but Sanity content is EN only.,Both,P1,Idea,M,3,,,2026-06-16
,I-034,Worktree env setup ergonomics,Infra/CMS,"Each new git worktree boots without a .env file because .env lives at E:\Secrets\Website\.env (outside the repo). Vite's loadEnv() and server.ts dotenv.config() both look only at project root, so worktrees can't load secrets. Approaches: (A) scripts/setup-worktree.ps1 that copies or symlinks .env from E:\Secrets\Website\.env into the current worktree on demand; (B) modify vite.config.ts and server.ts to read .env from E:\Secrets\Website\.env as fallback when project-root .env is missing. (B) is invisible-fix; (A) keeps a clear seam.","Lost ~30 min during Phase 1A review when phase-1a worktree had no .env, breaking sign-in and Cloudinary endpoints. Will keep happening with every new worktree.",Foundation,P2,Done (in production),S,1,,"Surfaced 2026-05-01 during phase-1a integration review. Renumbered I-006 → I-034 on 2026-09-05 (duplicate-ID cleanup; canonical I-006 = 'Env path fallback' (row 87), referenced in CLAUDE.md + memory).",2026-07-05
,I-035,Fix duplicate SPF records on designature.studio,Infra/CMS,"Two competing TXT records at apex: 'v=spf1 redirect=_spf.mail.ru' AND 'v=spf1 +a +mx include:spf.mysecurecloudhost...'. Per RFC 7208 a domain may have only one SPF record — having two causes receiving mail servers to fail SPF auth (permerror), which routes legitimate mail to spam. Fix: keep ONE record, with the right include for whichever provider actually sends mail. If Mail.ru is the active provider, drop the mysecurecloudhost SPF; if hosting.com mail is active, drop the Mail.ru redirect.",Email deliverability from @designature.studio is at risk. Priority depends on whether the domain actually sends/receives email today.,Both,P2,Done (in production),S,1,,"Confirm with owner which mail provider is active. Renumbered I-006 → I-035 on 2026-09-05 (duplicate-ID cleanup; canonical I-006 = 'Env path fallback' (row 87), referenced in CLAUDE.md + memory).",2026-07-05
