SL-006,Budget filter — pre-search range + post-search slider (paid),Idea,Option 2,P2,M,Paid-tier feature already messaged in pricing.
AI-033,AI Vision — accept a floorplan as input (the Plan My Room bridge),Idea (planning - spec required),Both,P2,L,"Turns the floorplan from a sibling tool into an upgrade path for the tool we already monetise, and fixes the AI-029 class of bugs at source rather than by prompt-nudging. Branch A serves a customer Vision cannot serve today."
AI-002,Cultural Advisor — build real implementation,Idea,Option 2,P3,L,Studio-plan exclusive feature.
,,,,,,
Phase 5 — Strategy Swap → Option 2 (AI hero)   ·   29 open,,,,,,
ID,Title,Status,Strategy fit,Priority,Effort,Why
S-016,Strategy north star — full self-serve design platform vision,North star,Option 2,P1,XL,This is the Option 2 future stated explicitly. Every AI card is a step toward it. Helps prioritize: cards that complete the journey > cards that decorate it.
S-024,SEO off-site — backlink + content + social playbook (recurring/ongoing),Idea (recurring),Both,P1,M (ongoing),On-site SEO (S-007 series) is necessary but not sufficient. Off-site signals (links + brand mentions + social engagement) drive most of the ranking weight for competitive queries like 'AI interior design tool'.
AI-040,Apply-and-re-run — designer corrections (and keep/use notes) that reach the prompt,Idea,Both,P1,M,"THIS IS WHAT MAKES DESIGNER CHECK (AI-038) SELLABLE. Without it a designer writes 'move the bed to the long wall' and the visitor has no way to act on it — AI Vision cannot take 'move the bed', it can only regenerate a different room. The advice becomes homework, and the check has sold a problem instead of a solution. That is why AI-038 ships FREE and advice-only until this lands. Separately, the KEEP half is a differentiator on its own: every rival tool deletes the user's things, and nobody solves it."
M-004,Installable app (PWA) with push notifications. Phase 1 of M-003,"Approved (route decided 2026-09-06: PWA with push, not a store wrap)",Both,P1,L,Keeps existing users coming back and alerts the owner the second someone pays or books. Will not bring new users.
AI-029,"AI Vision — Spatial recognition of the room (dimensions, layout, fixed features)",Idea (research),Both,P2,L,AI Vision currently generates concepts based on style + inspirations only — it doesn't know YOUR room's actual constraints. Owner explicit feedback 2026-05-19: 'we need to figure out how to add spatial recognition of the space.' Big quality lift. Differentiator vs. generic AI redesign tools.
S-022,SEO Phase 3 — Reviews / AggregateRating schema from testimonials,Idea,Both,P2,S,Star ratings in SERPs visibly increase clicks. Testimonials already exist on site — wasted SEO signal until structured.
S-025,Per-page document.title for every route (GA4 Page Title accuracy + SEO),Idea,Both,P2,S,Two wins: (1) GA4 Page Title dimension becomes meaningful — Top Pages report can distinguish '/portfolio' from '/pricing' by title not just path; (2) browser tab + bookmarks + history all show the right page name. Tiny diff but unblocks a lot of small downstream wins.
S-026,Paid consultation — decide WHERE on the website to surface it (Services / Pricing / Header / etc.),Idea (planning),Both,P2,S,"Right now there's only one booking action on the whole site = free Calendly. A paid consultation captures a different audience (global DIY-minded vs local project-ready) and a different revenue stream (productized advice vs full-project funnel). Aligns with new 'Online interior design studio' positioning (B-005) — paid video consultations are the perfect online-studio scalable product. Without deciding placement, the paid offering can't surface without breaking the current 'one clear action' funnel discipline."
S-027,"Paid consultation — define WHAT'S INCLUDED (duration, format, takeaway deliverable, price, booking flow)",Idea (planning),Both,P2,S,"Defining the product is the precondition for both pricing it and selling it. Owner explicitly committed to delivering a takeaway and validating demand before scaling. Wrong takeaway = no paid bookings; right takeaway = a real revenue stream that scales globally without per-project labor. This is the FOUNDATIONAL decision; placement (S-026), pricing-page surface, and Wave 3 e-commerce checkout all depend on it."
SL-007,Region routing — full launch across remaining markets (EU + Armenia),Idea,Both,P2,L,"Completes the four-region coverage envisioned in the shopping-list-strategy memory. By the time this ships, the SL-001 + SL-008 pattern will be proven, so EU + AM are pattern-application not pattern-invention."
AI-035,"Plumb My Room — wet-services plan (sanitary, drainage, supply)",Idea,Both,P2,L,"No kitchen or bathroom route can complete without it, and those are the two highest-spend rooms in any home. Drainage falls and stack positions decide a wet-room layout before anything aesthetic does — a render that ignores them is a convincing picture of a room nobody can build."
AI-036,Schedule My Finishes — room-by-room finishes schedule with quantities,Idea,Both,P2,L,The card that makes Shop My Room useful to a renovator rather than a decorator. Without it Shop can only ever buy furniture — which is exactly where a renovating visitor hits the wall today. Highest-frequency unbuilt card on the AI-032 v2 route map: 4 of 11 routes run through it.
M-003,Pipeline-driven engagement app — push notifications + full site parity,Idea (planning — spec required · large scope),Option 2,P2,XL,"The website is transactional — visit, do a tool, leave. A design project is a month-long journey with many stages. Push notifications are the only reliable channel to bring a user back at the RIGHT moment for the NEXT stage of THEIR pipeline. Also protects retention against generic AI chatbots that lack a personal journey model."
AI-038,Designer Check — written designer review at any step of a workflow,Idea,Both,P2,L,"The missing rung on the price ladder. Today it is $19/mo, $49/mo, or a full project costing thousands, with nothing in between — and that gap is where most people stall. It gives the Studio tier a reason to exist that is NOT 'more generations', which is the weakest possible upgrade argument and the one the tiers currently rest on. It is also the studio's real differentiator made visible at the exact moment someone is deciding whether to trust a step, and the warmest sales moment in the business — the designer has just looked at the actual room and the actual layout. Finally it converts the two honest-exit scenarios (mid-renovation, commercial fit-out) from a booking form into a sellable product."
AI-010,AI Renovation Sequencer (concept),Idea (refine),Option 2,P3,L,"Saves homeowners from expensive mistakes. High perceived value, defensible against generic chatbots."
AI-011,AI Lighting Planner,Idea (refine),Option 2,P3,L,Phase 2 (Plan). Aesthetic-facing (homeowner audience). Distinct from AI-018 Electrical Plan which is technical/contractor-facing.
AI-012,AI Budget Estimator (concept),Idea (refine),Both,P3,M,Builds trust and filters serious clients (you note this explicitly).
AI-013,AI Color Palette Generator (concept),Idea (refine),Option 2,P3,M,"Tangible deliverable, high shareability, low compute cost."
AI-014,AI Material Moodboard (concept),Idea (refine),Option 2,P3,L,Bridges 'inspiration' (Pinterest) to 'specification' (materials list). Designer-adjacent value.
AI-017,AI Floorplan Generator — whole-floorplan + structural changes,Idea (refine),Both,P3,XL,Phase 2 (Plan). High-value for renovation/new-build clients. Studio-tier exclusive — these are the clients most likely to also hire her for execution.
AI-018,AI Electrical Plan,Idea (refine),Option 2,P3,XL,"Phase 2 (Plan). Electrical is COMPLETELY DIFFERENT from lighting (per owner 2026-05-04) — different audiences, different concerns. Lighting is aesthetic/homeowner; electrical is technical/contractor."
AI-019,AI Installation Guides,Idea (refine),Option 2,P3,L,Phase 5 (Realize). Closes the gap between 'I bought this' and 'it's installed correctly.' Maps to the Installation Guides deliverable in S-014.
AI-020,AI 3D Walkthrough generator,Idea (long-term),Option 2,P3,XL,"Phase 5 (Realize). The 'wow' moment — clients walk through their finished space before nails go in. Highest perceived value, highest technical complexity."
M-002,Native mobile apps (iOS + Android) — phased,Idea (long-term),Option 2,P3,XL,"Mobile-first audience for interior design is large (Pinterest, IG, Houzz traffic patterns). Native app lets us own a homescreen icon and use device APIs the web can't. But premature without paid-tier revenue + engagement data — would be guessing which features matter."
S-017,Style Quiz popup — delayed conversion-driver (deferred from PR #5),Idea (deferred),Both,P3,M,"Conversion-driver for the Style Quiz funnel. Style Quiz is the entry point of the Discover phase — getting more visitors into it warms them for the consultation. Polite UX (12s delay, dismissible, once-per-session) so it doesn't feel spammy."
S-021,SEO Phase 3 — i18n (AM hreflang + translated meta),Idea,Both,P3,M,"When Armenian content strategy is real (translated portfolio descriptions, translated AI tool UI), SEO needs to follow. Until then, premature."
AI-034,Heat My Room — heating & cooling plan,Idea,Both,P3,L,Keeps the floorplan generator honest and shippable. Heating is a real deliverable but a different discipline with its own rulebook.
AI-037,Virtual-staging engine (fal FLUX) — re-test vs Gemini before activating,Idea (parked — needs head-to-head test),Both,P3,M,"Gemini occasionally distorts room structure (widens walls, invents/moves windows). fal cannot — so if structure drift ever becomes the bigger problem, fal is the built-in safety option worth reactivating."
AI-039,"Custom route — describe your situation, get your own pipeline",Idea,Both,P3,M,"Two jobs. (1) It catches everyone the eleven named scenarios do not describe, instead of dead-ending them. (2) It is the research instrument: every description is a scenario nobody has written yet — cluster them, author scenarios 12/13/14 from real customer language, then move those into the deterministic table. The share of traffic taking Custom should FALL over time; that number is the feature's own success metric. It is also a free, continuous source of real customer vocabulary for ad copy and GEO phrase selection."
